Film	director	screenwriter	actor
小戏骨：红楼梦之刘姥姥进大观园	潘礼平 / 刘玉洁 / 胡昀皓 / 释金光	刘玉洁 / 罗妤佳	释小松 / 周漾玥 / 钟熠璠 / 郭飞歌 / 杨纳娜 / 姚奥依 / 孙伊雯 / 刘戴恩 / 陶冰蓝 / 孙乐颜 / 陈舒宜 / 周艺 / 翁馨 / 钟奕儿 / 崔傲菲儿 / 高琳子 / 韦梓彤 / 艾梦欣 / 罗熙怡 / 黄林依阳 / 刘紫璇 / 姚雯嘉 / 陈荣达 / 肖杨博涵 / 郑可卓颖 / 于嘉欣 / 李芝青 / 周巧诒 / 胡轶珂 / 杨旻奎 / 刘怡麟 / 李俊豪 / 张思晨 / 余亚颖 / 刘芸孜 / 汪鑫瞳 / 赵奕琳 / 梁钦 / 韩一诺 / 付馨柔 / 李卓骞 / 许艺菲 / 张良哲 / 王项景浩 / 黄诚越 / 张泽晨 / 姚佳祺 / 陈星宇 / 卢俊辰 / 张靖晗 / 蔡嘉诚 / 陈博政 / 杨知周
大护法	不思凡	不思凡	小连杀 / 图特哈蒙 / 金士杰 / 幽舞越山 / 李佳怡 / 李兰陵 / 郭盛 / 叶知秋 / 佟心竹 / 邢凯新 / 藤新 / 郝祥海
刺杀盖世太保	塞德里克·吉门内兹	塞德里克·吉门内兹 / 奥黛丽·迪万 / David Farr / Laurent Binet	杰森·克拉科 / 裴淳华 / 杰克·奥康奈尔 / 米娅·华希科沃斯卡 / 杰克·莱诺 / 亚当·那加提斯 / 奥斯卡·肯尼迪 / 恩佐·科伦蒂 / 杰夫·贝尔 / 诺亚·尤佩 / 沃尔克·布鲁赫 / 巴里·阿茨玛 / Thomas M. Wright / Jim Sturgeon
乐高幻影忍者大电影	查理·宾 / 保罗·费舍尔 / 鲍勃·洛根	鲍勃·洛根 / 保罗·费舍尔 / 威廉·惠勒 / 汤姆·惠勒 / 贾里德·斯特恩 / 约翰·惠廷顿 / 希拉里·温斯顿 / 丹·哈格曼 / 凯文·哈格曼	成龙 / 戴夫·弗兰科 / 弗莱德·阿米森 / 库梅尔·南贾尼 / 迈克尔·佩纳 / 艾比·雅各布森 / 扎克·伍兹 / 大卫·布伦斯 / 贾斯汀·塞洛克斯 / 黄阿丽 / 查琳·易 / 奥立薇娅·玛恩 / 劳拉·奈特林格 / 兰道尔·朴 / 瑞塔 / 克里斯·哈德维克 / 迈克尔·斯特拉罕 / 罗宾·罗伯茨 / 吴恬敏 / 加勒特·埃尔金斯 / 托德·汉森 / 道格·尼古拉斯
海带	阚若涵	陆子轩	邓飞 / 刘飏
心理罪	谢东燊	顾小白 / 李昭 / 曹晨 / 雷米	廖凡 / 李易峰 / 万茜 / 李纯 / 张国柱 / 谢君豪 / 封佳奇 / 蔡鹭 / 虞朗 / 范湉湉
杰罗德游戏	迈克·弗拉纳根	斯蒂芬·金 / 迈克·弗拉纳根	卡拉·古奇诺 / 亨利·托马斯 / 布鲁斯·格林伍德 / 卡雷尔·斯特鲁基 / 凯特·西格尔 / 基娅拉·奥利勒拉 / Jon Arthur / Natalie Roers / Kimberly Battista / Chuck Borden / Tom Glynn / Gwendolyn Mulamba / Stu Cookson / Nikia Reynolds / Charles Adams
鬼魅浮生	大卫·洛维	大卫·洛维	卡西·阿弗莱克 / 鲁妮·玛拉 / 肯妮莎·汤普森 / 格罗弗·库尔森 / 丽兹·弗兰卡 / 巴洛·雅克布斯 / 理查德·克劳斯 / 卡莎 / 威尔·奥德哈姆 / 布瑞亚·格兰特 / 奥古斯丁·弗里泽尔 / 乔尼·马尔斯 / 布莱恩·皮茨 / 罗布·萨布雷基
破·局	连奕琦	林宇辰 / 于尚民	郭富城 / 王千源 / 刘涛 / 余皑磊 / 冯嘉怡 / 郑凯
生存家族	矢口史靖	矢口史靖	小日向文世 / 深津绘里 / 泉泽祐希 / 葵若菜 / 时任三郎 / 藤原纪香 / 大野拓朗 / 志尊淳 / 渡边绘里 / 宅麻伸 / 柄本明 / 大地康雄
双面情人	弗朗索瓦·欧容	乔伊思·卡罗尔·奥特兹 / 弗朗索瓦·欧容 / 菲利普·皮亚佐	玛丽恩·瓦科特 / 杰瑞米·雷乃 / 杰奎琳·比塞特 / 米丽娅姆·博耶 / 多米尼克·雷蒙 / 安托万·德·拉·莫利内利 / 让-保尔·米埃尔 / 贝诺提·吉欧斯
闪光少女	王冉	鲍鲸鲸	徐璐 / 彭昱畅 / 刘泳希 / 鲁照华 / 韩忠羽 / 李诺 / 骆明劼 / 陈雨锶 / 乐思宏 / 崔可法 / 陆建艺 / 陈奕迅 / 汤甄 / 闫妮 / 耿乐
牡丹花下	索菲亚·科波拉	索菲亚·科波拉 / 托马斯·卡利南 / 艾伯特·马尔茨 / 艾琳·坎普	科林·法瑞尔 / 妮可·基德曼 / 克斯汀·邓斯特 / 艾丽·范宁 / 乌娜·劳伦斯 / 安格瑞·赖斯 / 艾蒂森·里克 / 艾玛·霍华德 / 韦恩·佩雷 / 马特·斯托里
军舰岛	柳昇完	柳昇完 / 申庆一	黄晸玟 / 苏志燮 / 宋仲基 / 李贞贤 / 李璟荣 / 金秀安 / 尹敬浩 / 白承哲 / 姜成澈 / 金仁宇 / 朴野性 / 郑满植 / 朴正范 / 金敏载
神偷奶爸3	凯尔·巴尔达 / 皮埃尔·柯芬 / 埃里克·吉伦	辛科·保罗 / 肯·道里欧	史蒂夫·卡瑞尔 / 克里斯汀·韦格 / 崔·帕克 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 内芙·沙雷尔 / 皮埃尔·柯芬 / 史蒂夫·库根 / 朱莉·安德鲁斯 / 珍妮·斯蕾特 / 迈克尔·贝亚蒂 / 安迪·尼曼 / 阿德里安·奇斯卡托 / 布莱恩·T·德莱尼 / 肯·道里欧
猎凶风河谷	泰勒·谢里丹	泰勒·谢里丹	杰瑞米·雷纳 / 伊丽莎白·奥尔森 / 凯尔西·周  / 茱莉亚·琼斯 / 特欧·布里奥尼斯 / 阿佩萨纳赫克沃特 / 格雷厄姆·格林 / 坦图·卡丁诺 / 埃里克·兰格 / 吉尔·伯明翰 / 阿尔西娅·萨姆 / 托卡拉·克利福德 / 马丁·桑斯梅耶 / 泰勒·拉勒卡
明月几时有	许鞍华	何冀平	周迅 / 彭于晏 / 霍建华 / 叶德娴 / 郭涛 / 春夏 / 黄志忠 / 蒋雯丽 / 梁家辉 / 王菀之 / 吕良伟 / 鲍起静 / 李灿森 / 梁文道 / 张兆辉 / 冯淬帆 / 苑琼丹 / 唐宁 / 卢巧音 / 许鞍华 / 永濑正敏 / 森田凉花 / 廖骏雄 / 何华超 / 蔡瀚亿 / 欧锦棠 / 熊欣欣 / 吴岱融
人生密密缝	荻上直子	荻上直子	生田斗真 / 桐谷健太 / 柿原玲佳 / 米姆拉 / 小池荣子 / 门胁麦 / 田中美佐子 / 柏原收史 / 高桥枫翔 / 品川彻 / 江口德子 / 込江海翔
山2	阿尔珀·卡格拉	阿尔珀·卡格拉	欧赞·艾贾 / 贝迪·埃金 / 缪拉·阿金 / 艾露·阿鲁拉 / 乌富克·巴伊拉克塔尔 / 艾琥·图尔克潘贾 / 阿茜雅·欧兹肯
极盗车神	埃德加·赖特	埃德加·赖特	安塞尔·艾尔高特 / 凯文·史派西 / 杰米·福克斯 / 乔恩·哈姆 / 艾莎·冈萨雷斯 / 莉莉·詹姆斯 / 乔·博恩瑟 / 米迦·霍华德 / 摩根·布朗 / CJ·琼斯 / 斯凯·费雷拉 / 兰斯·帕默 / 哈德森·米克 / 薇薇安娜·查维斯 / 哈尔·怀特塞德 / 弗利 / 兰尼·琼 / 克莱·多纳休·丰特诺 / R·马科斯·泰勒 / 帕特里克·R·沃克 / 保罗·威廉姆斯 / 维布尔·弗利茨杰拉德
悟空传	郭子健	郭子健 / 今何在 / 黄海 / 范文文 / 黄智亨	彭于晏 / 倪妮 / 余文乐 / 俞飞鸿 / 欧豪 / 郑爽 / 乔杉 / 杨迪 / 巴音 / 王德顺
变形金刚5：最后的骑士	迈克尔·贝	阿特·马库姆 / 马特·霍洛维 / 肯·诺兰 / 阿齐瓦·高斯曼	马克·沃尔伯格 / 伊莎贝拉·莫奈 / 劳拉·哈德克 / 安东尼·霍普金斯 / 乔什·杜哈明 / 彼特·库伦 / 约翰·古德曼 / 斯坦利·图齐 / 桑地亚哥·卡布瑞拉 / 吉尔·伯明翰 / 渡边谦 / 约翰·迪·玛吉欧 / 弗兰克·维尔克 / 米彻·佩勒吉
加勒比海盗5：死无对证	艾斯彭·山德伯格 / 乔阿吉姆·罗恩尼	特里·鲁西奥 / 泰德·艾略特 / 斯图尔特·贝亚蒂耶 / 杰夫·内桑森 / 杰·沃尔伯特	约翰尼·德普 / 哈维尔·巴登 / 杰弗里·拉什 / 布伦顿·思韦茨 / 卡雅·斯考达里奥 / 凯文·麦克纳利 / 格什菲·法拉哈尼 / 奥兰多·布鲁姆 / 凯拉·奈特莉 / 斯蒂芬·格拉汉姆 / 大卫·文翰 / 保罗·麦卡特尼 / 马丁·科勒巴 / 亚当·布朗 / 丹尼·基兰 / 马赫什·扎杜 / 胡安·卡洛斯·凡希多
摔跤吧！爸爸	涅提·蒂瓦里	比于什·古普塔 / 施热亚·简	阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 泽伊拉·沃西姆 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼
黑暗塔	尼科莱·阿尔赛	尼科莱·阿尔赛 / 阿齐瓦·高斯曼 / 杰夫·皮克纳 / 安诺斯·托马斯·延森 / 斯蒂芬·金	马修·麦康纳 / 伊德里斯·艾尔巴 / 汤姆·泰勒 / 丹尼斯·海斯伯特 / 本·加文 / 金秀贤 / 杰基·厄尔·哈利 / 弗兰·克朗茨 / 阿比·丽 / 凯瑟琳·温妮克 / 尼古拉斯·鲍林 / 迈克尔·巴尔别里 / 何塞·祖尼加 / 尼古拉斯·汉密尔顿 / 阿尔弗雷多·纳西索
目击者之追凶	程伟豪	程伟豪 / 陈昱俐 / 陈彦齐	庄凯勋 / 许玮甯 / 柯佳嬿 / 李铭顺 / 李淳 / 陈彦允 / 郑志伟 / 汤志伟 / 卜国耕
